"","x"
"1","Abies_koreana"
"2","Abies_pinsapo"
"3","Acorus_americanus"
"4","Actinidia_kolomikta"
"5","Adiantum_pedatum"
"6","Aesculus_pavia"
"7","Ailanthus_altissima"
"8","Ampelopsis_megalophylla"
"9","Anaphalis_margaritacea"
"10","Anemone_rivularis"
"11","Angelica_archangelica"
"12","Arachniodes_simplicior"
"13","Arbutus_unedo"
"14","Aristolochia_tormentosa"
"15","Asimina_triloba"
"16","Aucuba_chinensis"
"17","Azara_serrata"
"18","Berberis_darwinii"
"19","Boehmeria_platanifolia"
"20","Bretschneidera_sinensis"
"21","Calycanthus_floridus"
"22","Canna_indica"
"23","Catalpa_fargesii"
"24","Cephalotaxus_harringtonia"
"25","Ceratostigma_minus"
"26","Cercidiphyllum_japonicum"
"27","Chamaedaphne_calyculata"
"28","Chelone_lyonii"
"29","Cistus_laurifolius"
"30","Clethra_delavayi"
"31","Colchicum_autumnale"
"32","Cornus_kousa"
"33","Corylus_colurna"
"34","Crinodendron_hookerianum"
"35","Cypripedium_japonicum"
"36","Daphniphyllum_macropodum"
"37","Datisca_cannabina"
"38","Decaisnea_insignis"
"39","Dianthus_microlepis"
"40","Dicksonia_antarctica"
"41","Disanthus_cercidifolius"
"42","Drimys_winteri"
"43","Dryopteris_carthusiana"
"44","Dryopteris_dilatata"
"45","Dryopteris_erythrosora"
"46","Dryopteris_expansa"
"47","Dryopteris_goldiana"
"48","Dryopteris_wallichiana"
"49","Embothrium_coccineum"
"50","Emmenopterys_henryi"
"51","Ephedra_frustillata"
"52","Equisetum_scirpoides"
"53","Erica_cinerea"
"54","Escallonia_rubra"
"55","Euptelea_polyandra"
"56","Eurya_japonica"
"57","Fragaria_chiloensis"
"58","Fritillaria_imperialis"
"59","Fuchsia_magellanica"
"60","Gentiana_acaulis"
"61","Geranium_tuberosum"
"62","Ginkgo_biloba"
"63","Glandora_diffusa"
"64","Gunnera_monoica"
"65","Gymnocarpium_dryopteris"
"66","Haberlea_rhodopensis"
"67","Halocarpus_bidwilii"
"68","Helwingia_chinensis"
"69","Hydrangea_quercifolia"
"70","Hypericum_densiflorum"
"71","Iris_wilsonii"
"72","Itea_virginica"
"73","Jovellana_violacea"
"74","Kniphofia_rooperi"
"75","Lathyrus_vernus"
"76","Liquidambar_formosana"
"77","Luzula_sylvatica"
"78","Lysichiton_camtschatcensis"
"79","Lysimachia_clethroides"
"80","Magnolia_dawsoniana"
"81","Matteuccia_struthiopteris"
"82","Meliosma_veitchiorum"
"83","Microbiota_decussata"
"84","Molinia_caerulea"
"85","Morus_australis"
"86","Myrica_gale"
"87","Narcissus_minor"
"88","Neillia_sinensis"
"89","Osmunda_regalis"
"90","Oxalis_oregana"
"91","Pachysandra_procumbens"
"92","Paeonia_delavayi"
"93","Paulownia_tomentosa"
"94","Persicaria_campanulata"
"95","Picea_abies"
"96","Picea_alcoquiana"
"97","Pinus_cembra"
"98","Pinus_heldercichii"
"99","Pinus_sylvestris"
"100","Platanus_orientalis"
"101","Podophyllum_peltatum"
"102","Polypodium_vulgare"
"103","Polystichum_acrostichoides"
"104","Polystichum_setiferum"
"105","Puschkinia_scilloides"
"106","Quercus_macranthera"
"107","Rehderodendron_macrocarpum"
"108","Rhamnus_alpina"
"109","Rhododendron_barbatum"
"110","Rhododendron_campylocarpum"
"111","Rhododendron_degronianum"
"112","Rhododendron_hyperythrum"
"113","Rhododendron_morii"
"114","Rhus_glabra"
"115","Ribes_sanguineum"
"116","Sanguinaria_canadensis"
"117","Sarracenia_minor"
"118","Sassafras_albidum"
"119","Schefflera_delavayi"
"120","Sciadopitys_verticillata"
"121","Scirpus_microcarpus"
"122","Shepherdia_canadensis"
"123","Stachyurus_chinensis"
"124","Staphylea_bumalda"
"125","Stewartia_serrata"
"126","Symphoricarpos_mollis"
"127","Syringa_oblata"
"128","Tapiscia_sinensis"
"129","Thelypteris_novaboracensis"
"130","Thelypteris_noveboracensis"
"131","Tolmeia_menziesii"
"132","Toona_sinensis"
"133","Trillium_ovatum"
"134","Trochodendron_aralioides"
"135","Tsuga_mertensiana"
"136","Tsuga_sieboldii"
"137","Vaccinium_deliciosum"
"138","Verbascum_nigrum"
"139","Verbena_rigida"
"140","Viburnum_davidii"
"141","Viola_odorata"
"142","Zelkova_serrata"
