"","binomial","sum(dry_mass)","nleaf"
"1","Abies_pinsapo",0.0166,361.44578313253
"2","Actinidia_kolomikta",0.6756,8.8809946714032
"3","Ampelopsis_megalophylla",0.3428,17.5029171528588
"4","Anemone_rivularis",1.765,3.39943342776204
"5","Aristolochia_tormentosa",0.2123,28.2618935468676
"6","Aucuba_chinensis",1.1045,5.43232231779086
"7","Berberis_darwinii",0.0679,88.3652430044183
"8","Boehmeria_platanifolia",1.2795,4.68933177022274
"9","Bretschneidera_sinensis",0.9086,6.60356592559982
"10","Calycanthus_floridus",0.2815,21.3143872113677
"11","Catalpa_fargesii",0.7599,7.89577575996842
"12","Cephalotaxus_harringtonia",0.0661,90.7715582450832
"13","Ceratostigma_minus",0.1729,34.7021399652979
"14","Cercidiphyllum_japonicum",0.2821,21.269053527118
"15","Chamaedaphne_calyculata",0.0628,95.5414012738854
"16","Cistus_laurifolius",0.2091,28.6944045911047
"17","Clethra_delavayi",0.823,7.29040097205346
"18","Colchicum_autumnale",1.979,3.03183425972713
"19","Cornus_kousa",0.4092,14.6627565982405
"20","Corylus_colurna",1.509,3.97614314115308
"21","Crinodendron_hookerianum",0.1714,35.0058343057176
"22","Daphniphyllum_macropodum",1.6128,3.7202380952381
"23","Decaisnea_insignis",0.2339,25.6519880290723
"24","Dianthus_microlepis",0.0098,612.244897959184
"25","Disanthus_cercidifolius",0.5439,11.0314396028682
"26","Drimys_winteri",1.3032,4.60405156537753
"27","Embothrium_coccineum",0.4528,13.2508833922261
"28","Emmenopterys_henryi",1.2296,4.87963565387118
"29","Ephedra_frustillata",0.2488,24.1157556270096
"30","Equisetum_scirpoides",0.0255,235.294117647059
"31","Escallonia_rubra",0.0641,93.603744149766
"32","Eurya_japonica",0.2908,20.6327372764787
"33","Fragaria_chiloensis",0.2767,21.6841344416335
"34","Fuchsia_magellanica",0.0239,251.046025104603
"35","Gentiana_acaulis",0.0994,60.3621730382294
"36","Ginkgo_biloba",0.6256,9.59079283887468
"37","Glandora_diffusa",0.0151,397.350993377483
"38","Gunnera_monoica",0.1579,37.9987333755542
"39","Haberlea_rhodopensis",1.2388,4.8433968356474
"40","Halocarpus_bidwilii",0.0962,62.3700623700624
"41","Helwingia_chinensis",0.1715,34.9854227405248
"42","Hydrangea_quercifolia",1.5511,3.86822255173748
"43","Hypericum_densiflorum",0.0086,697.674418604651
"44","Iris_wilsonii",0.7616,7.8781512605042
"45","Itea_virginica",0.1426,42.0757363253857
"46","Jovellana_violacea",0.0369,162.60162601626
"47","Kniphofia_rooperi",1.9253,3.1163974445541
"48","Lathyrus_vernus",0.1309,45.8365164247517
"49","Luzula_sylvatica",0.7202,8.33101916134407
"50","Lysimachia_clethroides",0.0423,141.843971631206
"51","Magnolia_dawsoniana",1.4504,4.13678985107557
"52","Meliosma_veitchiorum",1.3275,4.51977401129943
"53","Microbiota_decussata",0.6592,9.10194174757282
"54","Myrica_gale",0.0614,97.7198697068404
"55","Narcissus_minor",0.0434,138.248847926267
"56","Oxalis_oregana",0.0728,82.4175824175824
"57","Picea_alcoquiana",0.0158,379.746835443038
"58","Pinus_cembra",0.0473,126.849894291755
"59","Pinus_heldercichii",0.0946,63.4249471458774
"60","Pinus_sylvestris",0.0487,123.203285420945
"61","Puschkinia_scilloides",0.1669,35.9496704613541
"62","Quercus_macranthera",0.9915,6.05143721633888
"63","Rehderodendron_macrocarpum",1.4551,4.1234279430967
"64","Rhamnus_alpina",0.2839,21.1342021838676
"65","Rhododendron_barbatum",0.5589,10.7353730542136
"66","Rhododendron_hyperythrum",1.9312,3.10687655343828
"67","Rhododendron_morii",0.5742,10.4493207941484
"68","Ribes_sanguineum",0.7307,8.21130422882168
"69","Sanguinaria_canadensis",1.2882,4.65766185374942
"70","Sassafras_albidum",0.5164,11.6189000774593
"71","Sciadopitys_verticillata",0.1731,34.6620450606586
"72","Shepherdia_canadensis",0.2024,29.6442687747036
"73","Stachyurus_chinensis",0.7868,7.62582613116421
"74","Staphylea_bumalda",0.5865,10.230179028133
"75","Stewartia_serrata",0.1155,51.9480519480519
"76","Tapiscia_sinensis",1.0683,5.616399887672
"77","Thelypteris_novaboracensis",0.5161,11.6256539430343
"78","Thelypteris_noveboracensis",0.8696,6.89972401103956
"79","Tolmeia_menziesii",0.0934,64.2398286937902
"80","Trillium_ovatum",0.1553,38.6349001931745
"81","Trochodendron_aralioides",0.6209,9.66339185053954
"82","Tsuga_mertensiana",0.0078,769.230769230769
"83","Tsuga_sieboldii",0.0154,389.61038961039
"84","Vaccinium_deliciosum",0.0435,137.931034482759
"85","Verbena_rigida",0.1483,40.4585300067431
"86","Viola_odorata",0.7813,7.67950851145527
